Sep=;
Page;VisualID;HtmlTagName;HtmlCpOp;ModelTagName;ParameterName;ModelTagName_1;ParameterName_1;ModelTagName_2;ParameterName_2;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3002;;HIXZ3002;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3003;;HIXZ3003;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3004;;HIXZ3004;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3005;;HIXZ3005;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3006;;HIXZ3006;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3007;;HIXZ3007;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3008;;HIXZ3008;BIAS01;;;;;;;;
DFU4_SPLITTER_REBOILER;Foxboro_Bias;HIXZ3009;;HIXZ3009;BIAS01;;;;;;;;
DHT4_H2_MAKE_UP;Foxboro_Bias;HRZ2003;;;;;;;;;;;
CDU4_FEED;Foxboro_BiasAll;HIXZ1008;;HIXZ1008;OV;HIXZ1008;OV;;;;;HIXZ1008;MA
CDU4_FEED;Foxboro_BiasAll;HIXZ1009;;HIXZ1009;OV;HIXZ1009;OV;HIXZ1009;;HIXZ1009;MA;;
CDU4_FEED;Foxboro_BiasAll;HIXZ1010;;HIXZ1010;OV;HIXZ1010;OV;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_BlockNameEquipement;TagName;;;;;;;;;;;
cdu4_overview;Foxboro_Data;FITZ1003;;T_FITZ1003;Value;;;;;;;;
cdu4_overview;Foxboro_Data;ACZ1008;;T_ACZ1008;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ1024;;T_FICZ1024;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ1015;;T_AIZ1015;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ1085;;T_FICZ1085;Value;;;;;;;;
cdu4_overview;Foxboro_Data;ACZ1003;;T_ACZ1003;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ1002;;T_FICZ1002;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ2001;;T_AIZ2001;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ2010;;T_FICZ2010;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ3003;;T_FICZ3003;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ3004;;T_FICZ3004;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3007;;T_AIZ3007;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ3010;;T_FICZ3010;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3001A;;T_AIZ3001A;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3001B;;T_AIZ3001B;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FICZ3008;;T_FICZ3008;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3003A;;T_AIZ3003A;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3003B;;T_AIZ3003B;Value;;;;;;;;
cdu4_overview;Foxboro_Data;FITZ3001;;T_FITZ3001;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3004A;;T_AIZ3004A;Value;;;;;;;;
cdu4_overview;Foxboro_Data;AIZ3004B;;T_AIZ3004B;Value;;;;;;;;
CDU4_BLENDER;Foxboro_Data;FYAZ3702;;T_FYAZ3702;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TIZ10152;;T_TIZ10152;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TIZ1135;;T_TIZ1135;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TIZ10154;;T_TIZ10154;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TIZ1136;;T_TIZ1136;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TYZ1135_DEW;;T_TYZ1135_DEW;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;LIZ1048;;T_LIZ1048;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TIZ1007;;T_TIZ1007;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;AIZ1004;;T_AIZ1004;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;TIZ1006;;T_TIZ1006;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;FIZ1061;;T_FIZ1061;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;FIZ2001A;;T_FIZ2001A;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;XIZ2007;;T_XIZ2007;Value;;;;;;;;
CDU4_CRUDE_OVERHEAD;Foxboro_Data;XIZ2008;;T_XIZ2008;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TDZ1172;;T_TDZ1172;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;PIAZ1007;;T_PIAZ1007;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIIZ1014;;T_TIIZ1014;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1052;;T_TIZ1052;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1053;;T_TIZ1053;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1015;;T_TIZ1015;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1054;;T_TIZ1054;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1171;;T_TIZ1171;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1172;;T_TIZ1172;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;PIZ1009;;T_PIZ1009;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1021;;T_TIZ1021;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;XIZ1014;;T_XIZ1014;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;XIZ1015;;T_XIZ1015;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1055;;T_TIZ1055;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1008;;T_TIZ1008;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TIZ1050;;T_TIZ1050;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;FYZ1074;;T_FYZ1074;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;TMR_LZ1018HH;;T_TMR_LZ1018HH;Value;;;;;;;;
CDU4_CRUDE_TOWER;Foxboro_Data;PDZ1009;;T_PDZ1009;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;TIZ1009;;T_TIZ1009;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;TIZ10145;;T_TIZ10145;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;TIZ10146;;T_TIZ10146;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;TIZ10123;;T_TIZ10123;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ1011;;T_XIZ1011;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ1012;;T_XIZ1012;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ1013;;T_XIZ1013;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ1008;;T_XIZ1008;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ1009;;T_XIZ1009;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ1010;;T_XIZ1010;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ10102;;T_XIZ10102;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ10103;;T_XIZ10103;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;XIZ10104;;T_XIZ10104;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;TIZ1010;;T_TIZ1010;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;TIZ10139;;T_TIZ10139;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;PIAZ10130;;T_PIAZ10130;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;PIZ10140A;;T_PIZ10140A;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;PIZ10140B;;T_PIZ10140B;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;PIZ10140C;;T_PIZ10140C;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;FIZ1009;;T_FIZ1009;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;FIZ1010;;T_FIZ1010;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;FIZ1009_10;;T_FIZ1009_10;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;FIZ10117;;T_FIZ10117;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;FIZ10116;;T_FIZ10116;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;PDAZ1027;;T_PDAZ1027;Value;;;;;;;;
CDU4_DESALTERS;Foxboro_Data;PDAZ1028;;T_PDAZ1028;Value;;;;;;;;
CDU4_FEED;Foxboro_Data;PIZ1084;;T_PIZ1084;Value;;;;;;;;
CDU4_FEED;Foxboro_Data;TIZ1002;;T_TIZ1002;Value;;;;;;;;
CDU4_FEED;Foxboro_Data;XIZ1002;;T_XIZ1002;Value;;;;;;;;
CDU4_FEED;Foxboro_Data;XIZ1003;;T_XIZ1003;Value;;;;;;;;
CDU4_FEED;Foxboro_Data;XIZ1004;;T_XIZ1004;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PIZ5017;;T_PIZ5017;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PIZ5018;;T_PIZ5018;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PIZ5019;;T_PIZ5019;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PI26109;;T_PI26109;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PIZ5021;;T_PIZ5021;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PIZ5020;;T_PIZ5020;Value;;;;;;;;
CDU4_FLARE_BLOWDOWN;Foxboro_Data;PIZ5015;;T_PIZ5015;Value;;;;;;;;
